Stations_ID;	Stationsname
1073;	Dürkheim,Bad(Saline)
1074;	Dürrenberg,Bad
1076;	Dürrheim,Bad
1078;	Düsseldorf
1079;	Düsseldorf-Südfriedhof
1084;	Duisburg-Friemersheim
1087;	Duisburg-Laar
1091;	Ebeleben
1093;	Eberbach
1102;	Ebersbach/Fils
1103;	Ebersberg-Halbing
1106;	Eberswalde
1107;	Ebrach
1130;	Eggebek
1146;	Ehningen
1154;	Eiberg
1161;	Eichstätt-Landershofen
1169;	Eimeldingen
1172;	Einbeck
1182;	Eisleben-Helfta
1188;	Elgersburg
1197;	Ellwangen-Rindelbach
1200;	Elpersbüttel
1201;	Elsdorf/Erftkreis
1204;	Elsfleth
1207;	Elster,Bad-Sohl
1214;	Elzach-Fisnacht
1219;	Emden-Nesserland
1221;	Emden-Wolthusen
1224;	Emmendingen-Mundingen
1228;	UFSTWEms
1229;	Ems,Bad
1238;	Engelskirchen
1239;	Engen/Hegau
1243;	Eningen
1246;	Ennigerloh-Ostenfelde
1254;	Eppingen
1255;	Eppingen-Elsenz
1262;	München-Flughafen
1266;	Erfde
1270;	Erfurt-Weimar
1275;	Ering
1276;	Eriskirch-Mariabrunn
1279;	Möhrendorf-Kleinseebach
1280;	Erlangen-Bruck
1287;	Eschau-Hobbach
1292;	Eschenbach/Oberpfalz
1297;	Eschwege
1299;	Esens
1300;	Eslohe
1303;	Essen-Bredeney
1327;	Weilerswist-Lommersum
1329;	Eutin
1332;	Falkenberg,Kr.Rottal-Inn
1339;	Faßberg
1341;	Fehmarnbelt
1345;	Feldberg
1346;	Feldberg/Schwarzwald
1347;	Feldberg-Altglashütten
1357;	Fichtelberg/Oberfranken-Hüttstadl
1358;	Fichtelberg
1372;	Fischen
1374;	Fladungen-Heufurt
1378;	Flensburg
1379;	Flensburg(Schäferhaus)
1380;	Flensburg-Mürwik
1392;	Flossenbürg
1403;	Frammersbach
1410;	Frankenhausen/Kyffhäuser,Bad
1411;	Birx/Rhön
1420;	Frankfurt/Main
1421;	Frankfurt/Main(Stadt)
1424;	Frankfurt/Main-Westend
1425;	Frankfurt/Main(Feldbergstr.)
1426;	Frankfurt/Oder
1428;	Frankweiler
1440;	Freiamt-Ottoschwanden
1441;	Freiberg
1443;	Freiburg
1447;	FreiburgimBreisgau-Herdern
1451;	Freiburg/Elbe
1467;	Freudenstadt-Kurgarten
1468;	Freudenstadt
1473;	Freystadt-Michelbach
1481;	Friedenweiler
1488;	Friedrichsbrunn
1490;	Friedrichshafen
1492;	Malsburg-Marzell-Friedrichsheim
1493;	Friedrichshöhe
1503;	Friesoythe-Altenoythe
1504;	Fritzlar(Flugplatz)
1513;	Fuchskauten
1522;	Fürth/Bayern(A)
1526;	Fulda-Horas
1544;	Gardelegen
1550;	Garmisch-Partenkirchen
1552;	Gartz/Oder
1568;	Gehlberg-Schmücke
1580;	Geisenheim
1583;	Geisingberg
1584;	Geisingen
1586;	Traunstein-Geißing
1587;	Gelbelsee
1590;	Geldern-Walbeck
1593;	Gelnhausen
1602;	Ohlsbach
1605;	Genthin
1612;	Gera-Leumnitz
1617;	Gernrode
1619;	Gernsheim
1621;	Geroda-Platz
1623;	Gersfeld
1638;	Gießen(Lahntal)
1639;	Gießen/Wettenberg
1645;	Gilserberg-Moischeid
1666;	Glücksburg-Meierwik
1667;	Glückstadt
1684;	Görlitz
1689;	Gößweinstein
1691;	Göttingen
1694;	Goldberg
1709;	Gottleuba,Bad
1721;	Gräfenberg-Kasberg
1735;	Grainet-Rehberg
1736;	Grambek
1748;	Grebenhain-Herchenhain
1757;	Greifswald
1758;	Greifswald-Wieck
1759;	GreifswalderOie
1762;	Greiz-Dölau
1766;	Münster/Osnabrück
1792;	GroßBerßen
1803;	GroßLüsewitz
1832;	GroßerArber
1833;	GrosserFalkenstein
1834;	GrosserInselsberg
1844;	Feldkirchen-Westerham-Lenzmühle
1849;	Großmehring-Theißing
1863;	Gründau-Breitenborn
1869;	Grünow
1873;	Grund,Bad
1875;	Gschwend,Kr.Ostalb
1886;	Günzburg
1890;	Güstrow-Schabernack
1891;	Rheda-Wiedenbrück-Lintel
1892;	Gütersloh(Flugplatz)
1902;	Gunzenhausen(Altmühlsee)
1920;	Hagen-Fley
1929;	Hahnenklee
1957;	Halle-Kröllwitz
1960;	Halle(Stadt)
1964;	Olsdorf
1972;	Hamburg-Bergedorf
1973;	Hamburg-BotanischerGarten
1975;	Hamburg-Fuhlsbüttel
1979;	Hamburg-Kirchwerder
1981;	Hamburg-Neuwiedenthal
1986;	Hamburg-Reitbrook
1987;	Hamburg-SanktPauli
1990;	Hamburg-Wandsbek
1993;	Hameln
2000;	Hanau
2005;	Hankensbüttel
2014;	Hannover
2023;	Harburg
2039;	Harzburg,Bad
2044;	Harzgerode
2048;	Haseldorf
2053;	Hasselfelde
2069;	Hausstein
2074;	Hechingen
2078;	Weddingstedt
2080;	Heidelberg
2081;	Königstuhl
2083;	Heidelberg-Grenzhof
2088;	Heidenheim/Brenz
2092;	Heidenrod-Mappershain
2095;	Heilbronn
2110;	Heinsberg-Schleiden
2115;	Helgoland
2120;	Helmstedt
2122;	Helse,Kr.Dithmarschen
2147;	Herford
2151;	Herleshausen
2158;	Herrenalb,Bad
2159;	Herrenberg
2160;	Herrenhof
2166;	Herrnhut
2167;	Niederwörresbach
2171;	Hersfeld,Bad
2173;	Herten
2174;	Herzberg
2201;	Hiddensee-Vitte
2206;	Hildesheim
2211;	Hilgenroth
2221;	Hindelang-Unterjoch
2223;	Hindfeld
2225;	Hinterhermsdorf
2226;	Eisfeld-Waffenrod-Hinterrod
2228;	Hinterzarten
2244;	Höchenschwand
2250;	Höllenstein(Kraftwerk)
2252;	Bertsdorf-Hörnitz
2260;	Hof(Stadt)
2261;	Hof
2264;	Hofgeismar-Beberbeck
2268;	Hofheim
2289;	Hohennauen
2290;	Hohenpeißenberg
2297;	Hohenwestedt
2302;	Hohlstedt-Kötschau
2303;	Hohn
2306;	Hohwacht
2315;	Holzdorf(Flugplatz)
2318;	Holzhausena.d.Haide
2319;	Holzkirchen
2323;	Bevern,Kr.Holzminden
2324;	Holzminden-Silberborn
2327;	Homberg/Ohm
2331;	Homburg/Saar
2344;	Horlachen
2349;	Hornisgrinde
2352;	Hottingen
2354;	Hoyerswerda(Ph)
2360;	Hüll
2362;	Hümmerich
2374;	Husum
2385;	Idar-Oberstein
2388;	Ihringen
2393;	Ilmenau
2396;	Ilsenburg
2406;	Ingelfingen
2409;	Ingolstadt(Flussmeisterstelle)
2410;	Ingolstadt(Flugplatz)
2417;	Mittbach
2422;	Iserlohn-Westig
2423;	Isny
2429;	Itzehoe
2436;	Jänickendorf
2437;	Schleswig-Jagel
2444;	Jena(Sternwarte)
2451;	Jessen/Elster
2456;	Jever
2464;	Jork
2474;	Jülich(Forsch.-Anlage)
2475;	Jüterbog
2477;	Jungholz(Kühmoos)
2480;	Kahl/Main
2483;	KahlerAsten
2485;	Kaisersbach-Cronhütte
2486;	Kaiserslautern
2488;	Kaisheim-Neuhof
2494;	Kalkar
2497;	Kall-Sistig
2502;	Heiligenstadt,Heilbad-Kalteneber
2503;	Kaltennordheim
2506;	Kamenz
2521;	Karlshuld
2522;	Karlsruhe
2532;	Kassel
2533;	Kassel-Harleshausen
2536;	Kassel-Wilhelmshöhe(A)
2542;	Kaufbeuren
2543;	Kaufering
2546;	Kehl-Odelshofen
2559;	Kempten
2564;	Kiel-Holtenau
2565;	Kiel-Kronshagen
2575;	Kirchberg/Jagst-Herboldshausen
2578;	Kirchdorf/Poel
2597;	Kissingen,Bad
2600;	Kitzingen
2601;	KleinerFeldberg/Taunus
2609;	KleinRönnau
2618;	KleinerInselsberg
2621;	Kleinmachnow
2627;	Klettwitz
2629;	Kleve
2638;	Klippeneck
2641;	KlitzschenbeiTorgau
2654;	Knittlingen
2657;	Koblenz-Horchheim
2665;	Köln-BotanischerGarten
2667;	Köln-Bonn
2677;	Königsfeld/Schwarzwald
2680;	Königshofen,Bad
2689;	Königsmoor
2691;	Königsmoos-Untermaxfeld
2693;	Königstein/Taunus
2700;	Kösching
2701;	Kösen,Bad
2703;	Köterberg
2704;	Köthen(Anhalt)
2708;	Kohlgrub,Bad(Rosshof)
2712;	Konstanz
2713;	Konstanz(Stadtgärtnerei)
2717;	Korbach-Lengefeld
2738;	Kreuth
2750;	Kronach
2757;	Krozingen,Bad
2761;	Krumbach-Edenhausen
2770;	Kükels
2773;	Kümmersbruck
2775;	Künzelsau
2780;	Kulmbach
2783;	Kumhausen
2790;	Kusel-Fünfbirken
2794;	Kyritz
2796;	Laage(Flugplatz)
2812;	Lahr
2814;	Merklingen
2821;	Lamspringe
2829;	Landsberg(Flugplatz)
2830;	Landsberg/Lech
2831;	Landshut
2843;	Langen(BZ)
2856;	Langenlipsdorf
2857;	Langensalza,Bad
2861;	Langeoog
2872;	Lathen
2878;	Lauchstädt,Bad
2879;	Lauda-Königshofen-Gerlachsheim
2886;	Laupheim
2889;	Lauterberg,Bad(A)
2905;	Lechfeld
2906;	Leck(A)
2907;	Leck
2912;	Lehbek
2915;	Lehesten/ThüringerWald
2920;	Leiblfing
2923;	Leinau
2925;	Leinefelde
2928;	Leipzig-Holzhausen
2931;	Leipzig-Mockau
2932;	Leipzig/Halle
2947;	Lennestadt-Theten
2949;	Lenningen-Schopfloch
2950;	Lensahn
2951;	Lenzen/Elbe
2953;	Lenzkirch-Ruhbühl
2961;	LeuchtturmKiel
2963;	Leunawerke
2968;	Köln-Stammheim
2985;	Lichtenhain-Mittelndorf
2996;	Liebenzell,Bad
3001;	Liliental
3004;	Limburg/Lahn-Offheim
3007;	Limburgerhof
3015;	Lindenberg
3016;	Lindenberg/Allgäu
3017;	Lindenfels
3018;	Lindenfels-Winterkasten
3023;	Lingen
3028;	Lippspringe,Bad
3031;	Lippstadt-Bökenförde
3032;	ListaufSylt
3034;	Lobenstein,Bad
3042;	Löhnberg-Obershausen
3044;	Löningen
3045;	Löningen-Hagel
3056;	Lohr/Main-Steinbach
3062;	Lorch/Rhein
3076;	Ludwigshafen-Mundenheim
3082;	Lübben
3083;	Lübben-Blumenfelde
3085;	Lübeck
3086;	Lübeck-Blankensee
3088;	Lübeck-Werft
3093;	Lüchow
3096;	Lüdenscheid(Zeppelin-Gymnasium)
3098;	Lüdenscheid
3101;	Lüdinghausen
3103;	Lüneburg
3113;	Luisenthal(Talsperre)
3126;	Magdeburg
3135;	Mainhardt-Ziegelbronn
3137;	Mainz-Lerchenberg(ZDF)
3139;	Maisach-Gernlinden
3147;	Mallersdorf-Pfaffenberg-Oberlindhart
3155;	Manderscheid-Sonnenhof
3158;	Manschnow
3160;	Vatterode-Gräfenstuhl
3164;	Cölbe,Kr.Marburg-Biedenkopf
3166;	Marienberg
3167;	Marienberg,Bad
3170;	Marienleuchte
3181;	MarktErlbach-Hagenhofen
3196;	Marnitz
3204;	Martinroda
3211;	Mauth-Finsterau
3212;	Mayen
3222;	Meerbeck
3223;	Meersburg
3226;	Aschersleben-Mehringen
3227;	Meinberg,Bad
3228;	Meinerzhagen(A)
3231;	Meiningen
3234;	GarsebachbeiMeißen
3236;	Melle
3244;	Memmingen
3246;	Mendig
3253;	SanktBlasien-Menzenschwand
3254;	Meppen
3257;	Mergentheim,Bad-Neunkirchen
3265;	Mespelbrunn
3268;	Meßstetten-Appental
3271;	Metten
3274;	Mettlach-Orscholz(Kurort)
3278;	Metzingen
3284;	Michelstadt
3287;	Michelstadt-Vielbrunn
3289;	Schmieritz-Weltwitz
3291;	Miltenberg
3300;	Mittel-Gründau
3307;	Mittenwald-Buckelwiesen
3313;	Modautal-Neunkirchen
3317;	Mölln
3319;	Röllbach
3320;	Mönchengladbach
3340;	Montabaur
3348;	Moringen-Lutterbeck
3362;	Mühlacker
3366;	Mühldorf
3370;	Mühlhausen
3376;	Müncheberg
3379;	München-Stadt
3382;	München-Bogenhausen
3383;	München-BotanischerGarten
3385;	München-Nymphenburg
3388;	München-Perlach
3390;	München-Riem
3402;	Münsingen-Apfelstetten
3404;	Münster
3425;	Murrhardt
3426;	Muskau,Bad
3432;	Nagold
3442;	Nauheim,Bad
3478;	Neubrandenburg
3484;	Neuburg/Donau(Flugplatz)
3485;	Neuburg/Kammel-Langenhaslach
3486;	Neudenau
3490;	Neuenahr,Bad-Ahrweiler
3509;	Menz
3513;	NeuhausamRennweg
3518;	NeuhausenobEck
3519;	NeuhausenobEck-Unterschwandorf
3527;	Neukirchen-Hauptschwenda
3532;	Neuland
3537;	Neumünster
3540;	Neunkirchen-Seelscheid-Krawinkel
3541;	Neunkirchen-Seelscheid-Meisenbach
3545;	Neunkirchen-Wellesweiler
3552;	Neuruppin
3565;	Neustadt/Aisch
3571;	NeustadtamKulm-Filchendorf
3575;	Neustadt/Weinstraße
3576;	Neustadt/Weinstraße(Heidehof)
3577;	Neustrelitz
3578;	Regensburg-Burgweinting
3590;	Nidderau-Windecken
3591;	Nideggen-Schmidt
3595;	Niederelbert
3603;	Niederstetten
3605;	Niederstotzingen
3612;	Nienburg
3621;	Reimlingen
3623;	Nörvenich(Flugplatz)
3631;	Norderney
3639;	Nordholz(Flugplatz)
3640;	Nordhorn-Blanke
3658;	Nümbrecht-Distelkamp
3659;	Nürburg
3660;	Nürburg-Barweiler
3666;	Nürnberg-Buchenbuehl
3667;	Nürnberg-Netzstall
3668;	Nürnberg
3671;	Nürtingen
3672;	Nufringen
3679;	Kiefersfelden-Gach
3694;	Oberhof
3702;	Münstertal-Obermünstertal
3705;	Oberndorf/Neckar-Aistaig
3722;	Oberschleißheim
3727;	Oberstaufen-Kalzhofen
3730;	Oberstdorf
3734;	Obersulm-Willsbach
3735;	Obertaufkirchen
3739;	Oberviechtach
3744;	Oberweser-Gieselwerder
3751;	Ochsenhausen-Mittelbuch
3752;	Ochsenkopf
3753;	Ochtrup
3761;	Öhringen
3776;	Offenbach/M.(Stadt)
3777;	Offenburg
3788;	Olbersdorf
3790;	Oldenburg(A)
3791;	Oldenburg
3811;	Oschatz
3815;	Osnabrück
3818;	Osterburg
3821;	Osterfeld
3825;	Osterhof
3836;	Ostheimv.d.Rhön
3856;	Oy-Mittelberg
3857;	Oy-Mittelberg-Petersthal
3867;	Papenburg
3875;	Parsberg/Oberpfalz-Eglwang
3878;	Passau-Maierhof
3879;	Passau-Oberhaus
3883;	Pausa-Unterreichenau
3897;	Pelzerhaken
3903;	Perl-Besch
3904;	Perl-Nennig
3915;	Petkus
3922;	Pfofeld-Langlau
3924;	Pforzheim-Eutingen
3925;	Pforzheim-Ispringen
3927;	Pfullendorf
3929;	Philippsburg
3939;	Pirmasens
3946;	Plauen
3955;	Plön(See)
3974;	Pommelsbrunn
3975;	Pommelsbrunn-Mittelburg
3987;	Potsdam
3988;	Potsdam(Säkularstation)
4005;	Prien-Stock
4018;	Puch
4024;	Putbus
4029;	Quakenbrück
4032;	Quedlinburg
4036;	Querfurt-MühleLodersleben
4038;	Quickborn(KurzerKamp)
4039;	Quickborn
4053;	Radolfzell-Markelfingen
4063;	Rahden-Kleinendorf
4066;	Raisting
4077;	Rastatt
4079;	Rastenberg
4091;	RauschbergbeiRuhpolding
4094;	Weingarten,Kr.Ravensburg
4100;	Recklinghausen
4104;	Regensburg
4125;	Reichenhall,Bad
4127;	Reichshof-Eckenhagen
4149;	Marienberg-Reitzenhain
4152;	Remetschwiel
4154;	Remscheid-Lennep
4156;	Rendsburg
4157;	Rengsdorf(Kurort)
4160;	Renningen-IhingerHof
4166;	Reutlingen-Betzingen
4169;	Rheinau-Memprechtshofen
4174;	Rheine-Bentlage
4175;	Rheinfelden
4177;	Rheinstetten
4189;	Altheim,KreisBiberach
4222;	Rodewisch
4233;	RöhrigshofbeiSchlüchtern
4240;	Roetgen
4261;	Rosenheim
4270;	Rostock
4271;	Rostock-Warnemünde
4275;	Rotenburg(Wümme)
4278;	RothbeiNürnberg
4280;	Roth
4287;	RothenburgobderTauber
4288;	Rothenfelde,Bad
4293;	Rottach-Egern
4294;	Rottenburg-Kiebingen
4300;	Rottweil
4301;	Kreuznach,Bad
4318;	Ruhpolding
4320;	Ruhwinkel
4323;	Ruppertsecken
4327;	Rusel-Irlmoos
4330;	Rutesheim
4332;	Saalfeld
4336;	Saarbrücken-Ensheim
4339;	Saarbrücken-SanktJohann
4343;	Saarlouis
4347;	Sachsa,Bad
4349;	Sachsenheim
4350;	Säckingen,Bad(Bergseestr.)
4354;	Saldenburg-Entschenreuth
4364;	Salzgitter-Ringelheim
4367;	Salzhemmendorf-Lauenstein
4371;	Salzuflen,Bad
4373;	Salzwedel
4377;	Sandberg
4386;	SanktBlasien
4390;	SanktMärgen
4391;	SanktMichaelisdonn
4393;	SanktPeter-Ording
4396;	SanktWendel-Hof
4397;	SanktWendel-Urweiler
4401;	Sassendorf,Bad-Ostinghausen
4411;	Schaafheim-Schlierbach
4419;	Schallstadt-Mengen
4425;	Schaumberg-Tholey
4429;	Scheidegg
4433;	Schemmerhofen-Ingerkingen
4436;	Schenklengsfeld
4438;	Scheßlitz
4442;	Schieder
4445;	Wernigerode-Schierke
4464;	Schleiz
4466;	Schleswig
4468;	Schleswig-Stadtfeld
4469;	Schleusingen
4471;	Schliersee(A)
4474;	Schlossböckelheim
4477;	Schluchsee
4479;	Schlüchtern-KlosterGomfritz
4480;	Schlüchtern-Herolz
4484;	Schmalenbeck
4485;	Schmalkalden,Kurort
4489;	Schmatzfeld
4490;	Schmelz-Hüttersdorf
4501;	Schmücke
4505;	Schnarrtanne-Vogelsgrün
4508;	Schneifelforsthaus
4517;	Schömberg,Kr.Calw
4548;	Schönwald/Ofr.-Brunn
4549;	Schönwald/Schwarzwald
4556;	Schonach
4557;	Schopfheim-Eichen
4559;	Schorndorf-Knöbling
4560;	Schotten
4571;	Schulenberg
4576;	Schwabach(A)
4581;	SchwäbischGmünd-Strassdorf
4582;	SchwäbischHall-Bibersfeld
4584;	Schwaigermoos
4586;	Schwalbach,Bad
4592;	Schwandorf
4593;	Schwanebeck
4597;	Schwangau-Horn
4605;	Schwarzburg
4606;	SchwarzePumpe
4612;	Schwarzenberg
4621;	Schweinfurt-Gartenstadt
4625;	Schwerin
4629;	Schwesing
4642;	Seehausen
4649;	Seelscheid
4651;	Seesen
4656;	Segeberg,Bad
4664;	Selb/Oberfranken-Wildenau
4692;	Siegen(Kläranlage)
4703;	Sigmaringen-Laiz
4704;	Sigmarszell-Zeisertsweiler
4705;	Silberhütte
4706;	Simbach/Inn
4709;	Simmern-Wahlbach
4719;	Sinsheim
4729;	Steinau-Seidenroth
4741;	Solingen-Hohenscheid
4745;	Soltau
4748;	Sondershausen
4752;	Sonneberg-Neufang
4763;	Sontra
4765;	Sooden-Allendorf,Bad
4775;	Speinshart
4782;	Spören-Prussendorf
4813;	Staffelstein,Bad-Stublang
4818;	Stammbach-Querenbach
4837;	Stegen
4841;	Steinau,Kr.Cuxhaven
4847;	Steinberg
4857;	Mittelnkirchen-Hohenfelde
4878;	OberharzamBrocken-Stiege
4881;	Stockach
4887;	Stötten
4896;	Wagersrott
4911;	Straubing
4926;	Stuttgart(Neckartal)
4927;	Stuttgart-Stadt
4928;	Stuttgart(Schnarrenberg)
4931;	Stuttgart-Echterdingen
4933;	Stuttgart-Hohenheim
4939;	Suderode,Bad
4977;	Tangermünde
4978;	Tann/Rhön
4987;	Tauberbischofsheim-Dittigheim
4996;	Tegernsee
4997;	Starkenberg-Tegkwitz
5009;	Teterow
5014;	Worpswede-Hüttenbusch
5017;	Teuschnitz
5024;	Möckern-Räckendorf
5029;	Tholey
5032;	Thüngersheim
5039;	Tiefenort
5046;	Tirschenreuth-Lodermühl
5047;	Titisee-Neustadt-Langenordnach
5049;	Titisee-Neustadt-Titisee
5059;	Todtmoos
5063;	Tölz,Bad
5064;	Tönisvorst
5067;	TorfhausimSolling
5068;	Torgau
5074;	Traunstein-Sparz
5075;	Traunstein-Axdorf
5078;	Travemünde
5088;	Trent
5094;	Triberg
5095;	Triberg(Kurpark)
5097;	Tribsees
5099;	Trier-Zewen
5100;	Trier-Petrisberg
5105;	Trochtelfingen
5107;	Trochtelfingen-Wilsingen
5109;	Trollenhagen
5111;	Trostberg
5120;	Tübingen
5127;	Tuttlingen
5128;	Tuttlingen-Möhringen-Vorstadt
5133;	Twistetal-Mühlhausen
5138;	Überlingen/Bodensee
5142;	Ueckermünde
5146;	Uelzen
5149;	Gollhofen
5155;	Ulm
5158;	Ummendorf
5165;	Unterlüß
5174;	Urach,Bad
5185;	Uttenreuth
5229;	Villingen-Schwenningen
5236;	Visbek
5244;	Völklingen-Stadt
5245;	Völklingen(Kraftwerk-Fenne)
5250;	Vogtsburg-Oberrotweil
5252;	Voldagsen
5267;	Wackersleben
5275;	Waghäusel-Kirrlach
5277;	Wahlen
5279;	Wesertal-Lippoldsberg
5280;	Wittenborn
5282;	WahnsdorfbeiDresden
5284;	Waiblingen
5289;	Waldachtal-Lützenhardt
5291;	Waldau-Jostal
5296;	Waldeck
5300;	Waldems-Reinborn
5306;	Waldhäuser(NationalPark)
5317;	Waldsassen
5320;	Waldshut
5335;	Waltershausen
5344;	Wangerooge
5347;	Warburg
5349;	Waren(Müritz)
5361;	Wartenberg-Angersbach
5369;	Wasserburg
5371;	Wasserkuppe
5377;	Watzmannhaus
5397;	Weiden
5398;	Weidenbach,Kr.Ansbach
5403;	Weigenheim-Reusch
5404;	Weihenstephan-Dürnast
5410;	Weilburg(Kläranlage)
5419;	Weimar
5424;	Weimar-Schöndorf
5426;	Weinbiet
5429;	Weinsberg
5431;	WeisenbeiWittenberge
5433;	Weiskirchen/Saar
5434;	Weismain
5435;	Weissach
5440;	Weißenburg-Emetzheim
5442;	Weißenfels
5445;	Weißensee-Ottenhausen
5453;	Weisweil-Waldeckhof
5460;	Wellendingen
5463;	Wellmitz
5467;	Wendelstein
5480;	Werl
5488;	Mühlhausen,Kr.Schweinfurt
5490;	Wernigerode
5498;	Wertheim-Eichel
5514;	Westerland
5516;	Fehmarn
